,datasetId,user,baseSf,baseAdduct,otherSf,otherAdduct,rank
59,2016-09-21_16h07m23s,U_Melbourne_tagger1,C43H73O8P,-H,C45H82NO7P,-H,1.0
60,2016-09-21_16h07m23s,U_Melbourne_tagger2,C43H73O8P,-H,C43H78N6O13,-H,
61,2016-09-21_16h07m23s,U_Melbourne_tagger2,C43H73O8P,-H,C43H82NO7P,-H,
62,2016-09-21_16h07m23s,U_Melbourne_tagger2,C43H73O8P,-H,C21H26O3,-H,
63,2016-09-21_16h07m23s,U_Melbourne_tagger2,C43H73O8P,-H,C35H52O14,-H,
64,2016-09-21_16h07m23s,U_Melbourne_tagger2,C43H73O8P,-H,C39H75O8P,-H,
65,2016-09-21_16h07m23s,U_Melbourne_tagger2,C43H73O8P,-H,C41H78NO7P,-H,
66,2016-09-21_16h07m23s,U_Melbourne_tagger2,C43H73O8P,-H,C43H82NO7P,-H,
67,2016-09-21_16h07m23s,U_Melbourne_tagger2,C43H73O8P,-H,C50H95NO11S,-H,
68,2016-09-21_16h07m23s,U_Melbourne_tagger2,C43H73O8P,-H,C45H82NO7P,-H,0.0
69,2016-09-21_16h07m23s,U_Melbourne_tagger2,C43H73O8P,-H,C45H78NO8P,-H,1.0
80,2016-09-21_16h07m37s,M4I_tagger0,C16H18O9S,+Na,C26H54NO7P,+Na,
81,2016-09-21_16h07m37s,M4I_tagger0,C16H18O9S,+Na,C37H68O4,+H,
82,2016-09-21_16h07m37s,M4I_tagger0,C16H18O9S,+Na,C42H80NO8P,+K,
83,2016-09-21_16h07m37s,M4I_tagger0,C16H18O9S,+Na,C42H82NO8P,+H,
84,2016-09-21_16h07m37s,M4I_tagger0,C16H18O9S,+Na,C40H80NO8P,+H,
85,2016-09-21_16h07m37s,M4I_tagger0,C16H18O9S,+Na,C44H82NO8P,+Na,
86,2016-09-21_16h07m37s,M4I_tagger0,C16H18O9S,+Na,C21H14O10,+Na,0.0
87,2016-09-21_16h07m37s,M4I_tagger0,C16H18O9S,+Na,C39H79N2O6P,+H,1.0
88,2016-09-21_16h07m37s,M4I_tagger0,C16H18O9S,+Na,C47H91N2O6P,+K,2.0
89,2016-09-21_16h07m37s,M4I_tagger0,C16H18O9S,+Na,C39H79N2O6P,+K,3.0
90,2016-09-21_16h07m37s,M4I_tagger0,C39H79N2O6P,+H,C24H50NO7P,+H,
91,2016-09-21_16h07m37s,M4I_tagger0,C39H79N2O6P,+H,C37H66O4,+H,
92,2016-09-21_16h07m37s,M4I_tagger0,C39H79N2O6P,+H,C39H81N2O6P,+Na,
93,2016-09-21_16h07m37s,M4I_tagger0,C39H79N2O6P,+H,C41H78NO10P,+Na,
94,2016-09-21_16h07m37s,M4I_tagger0,C39H79N2O6P,+H,C44H82NO8P,+Na,
95,2016-09-21_16h07m37s,M4I_tagger0,C39H79N2O6P,+H,C24H50NO7P,+H,
96,2016-09-21_16h07m37s,M4I_tagger0,C39H79N2O6P,+H,C42H81NO12S,+H,
97,2016-09-21_16h07m37s,M4I_tagger0,C39H79N2O6P,+H,C45H76NO7P,+Na,
98,2016-09-21_16h07m37s,M4I_tagger0,C39H79N2O6P,+H,C21H14O10,+Na,0.0
99,2016-09-21_16h07m37s,M4I_tagger0,C39H79N2O6P,+H,C39H79N2O6P,+Na,0.0
100,2016-09-21_16h07m37s,M4I_tagger1,C16H18O9S,+Na,C21H14O10,+Na,0.0
101,2016-09-21_16h07m37s,M4I_tagger1,C16H18O9S,+Na,C39H79N2O6P,+H,0.0
102,2016-09-21_16h07m37s,M4I_tagger1,C16H18O9S,+Na,C37H68O4,+H,1.0
103,2016-09-21_16h07m37s,M4I_tagger1,C16H18O9S,+Na,C40H80NO8P,+H,2.0
104,2016-09-21_16h07m37s,M4I_tagger1,C16H18O9S,+Na,C26H54NO7P,+Na,3.0
105,2016-09-21_16h07m37s,M4I_tagger1,C16H18O9S,+Na,C39H79N2O6P,+K,5.0
106,2016-09-21_16h07m37s,M4I_tagger1,C16H18O9S,+Na,C47H91N2O6P,+K,6.0
107,2016-09-21_16h07m37s,M4I_tagger1,C16H18O9S,+Na,C42H82NO8P,+H,7.0
108,2016-09-21_16h07m37s,M4I_tagger1,C16H18O9S,+Na,C42H80NO8P,+K,8.0
109,2016-09-21_16h07m37s,M4I_tagger1,C16H18O9S,+Na,C44H82NO8P,+Na,9.0
110,2016-09-21_16h07m37s,M4I_tagger1,C39H79N2O6P,+H,C39H79N2O6P,+Na,0.0
111,2016-09-21_16h07m37s,M4I_tagger1,C39H79N2O6P,+H,C21H14O10,+Na,1.0
112,2016-09-21_16h07m37s,M4I_tagger1,C39H79N2O6P,+H,C37H66O4,+H,2.0
113,2016-09-21_16h07m37s,M4I_tagger1,C39H79N2O6P,+H,C24H50NO7P,+H,5.0
114,2016-09-21_16h07m37s,M4I_tagger1,C39H79N2O6P,+H,C24H50NO7P,+H,5.0
115,2016-09-21_16h07m37s,M4I_tagger1,C39H79N2O6P,+H,C39H81N2O6P,+Na,7.0
116,2016-09-21_16h07m37s,M4I_tagger1,C39H79N2O6P,+H,C44H82NO8P,+Na,8.0
117,2016-09-21_16h07m37s,M4I_tagger1,C39H79N2O6P,+H,C42H81NO12S,+H,8.0
118,2016-09-21_16h07m37s,M4I_tagger1,C39H79N2O6P,+H,C41H78NO10P,+Na,9.0
119,2016-09-21_16h07m37s,M4I_tagger1,C39H79N2O6P,+H,C45H76NO7P,+Na,9.0
120,2016-09-21_16h07m37s,M4I_tagger2,C16H18O9S,+Na,C21H14O10,+Na,0.0
121,2016-09-21_16h07m37s,M4I_tagger2,C16H18O9S,+Na,C39H79N2O6P,+H,1.0
122,2016-09-21_16h07m37s,M4I_tagger2,C16H18O9S,+Na,C37H68O4,+H,2.0
123,2016-09-21_16h07m37s,M4I_tagger2,C16H18O9S,+Na,C42H82NO8P,+H,3.0
124,2016-09-21_16h07m37s,M4I_tagger2,C16H18O9S,+Na,C39H79N2O6P,+K,4.0
125,2016-09-21_16h07m37s,M4I_tagger2,C16H18O9S,+Na,C47H91N2O6P,+K,5.0
126,2016-09-21_16h07m37s,M4I_tagger2,C16H18O9S,+Na,C26H54NO7P,+Na,6.0
127,2016-09-21_16h07m37s,M4I_tagger2,C16H18O9S,+Na,C42H80NO8P,+K,7.0
128,2016-09-21_16h07m37s,M4I_tagger2,C16H18O9S,+Na,C44H82NO8P,+Na,8.0
129,2016-09-21_16h07m37s,M4I_tagger2,C16H18O9S,+Na,C40H80NO8P,+H,9.0
130,2016-09-21_16h07m37s,M4I_tagger2,C39H79N2O6P,+H,C24H50NO7P,+H,
131,2016-09-21_16h07m37s,M4I_tagger2,C39H79N2O6P,+H,C24H50NO7P,+H,
132,2016-09-21_16h07m37s,M4I_tagger2,C39H79N2O6P,+H,C21H14O10,+Na,0.0
133,2016-09-21_16h07m37s,M4I_tagger2,C39H79N2O6P,+H,C39H79N2O6P,+Na,1.0
134,2016-09-21_16h07m37s,M4I_tagger2,C39H79N2O6P,+H,C37H66O4,+H,2.0
135,2016-09-21_16h07m37s,M4I_tagger2,C39H79N2O6P,+H,C42H81NO12S,+H,3.0
136,2016-09-21_16h07m37s,M4I_tagger2,C39H79N2O6P,+H,C44H82NO8P,+Na,4.0
137,2016-09-21_16h07m37s,M4I_tagger2,C39H79N2O6P,+H,C39H81N2O6P,+Na,5.0
138,2016-09-21_16h07m37s,M4I_tagger2,C39H79N2O6P,+H,C45H76NO7P,+Na,6.0
139,2016-09-21_16h07m37s,M4I_tagger2,C39H79N2O6P,+H,C41H78NO10P,+Na,7.0
160,2016-09-21_16h07m47s,MPI_Bremen_tagger0,C5H15As,+H,C16H34O9,+Na,
161,2016-09-21_16h07m47s,MPI_Bremen_tagger0,C5H15As,+H,C18H38O10,+Na,
162,2016-09-21_16h07m47s,MPI_Bremen_tagger0,C5H15As,+H,C20H42O11,+Na,
163,2016-09-21_16h07m47s,MPI_Bremen_tagger0,C5H15As,+H,C22H46O12,+Na,
164,2016-09-21_16h07m47s,MPI_Bremen_tagger0,C5H15As,+H,C24H50O13,+Na,
165,2016-09-21_16h07m47s,MPI_Bremen_tagger0,C5H15As,+H,C18H20N3O7P,+Na,0.0
166,2016-09-21_16h07m47s,MPI_Bremen_tagger0,C5H15As,+H,C15H10O6,+Na,1.0
167,2016-09-21_16h07m47s,MPI_Bremen_tagger0,C5H15As,+H,C14H8O6,+Na,2.0
168,2016-09-21_16h07m47s,MPI_Bremen_tagger0,C5H15As,+H,C14H13NO7,+H,3.0
169,2016-09-21_16h07m47s,MPI_Bremen_tagger0,C5H15As,+H,C10H12FN5O4,+Na,4.0
170,2016-09-21_16h07m47s,MPI_Bremen_tagger1,C5H15As,+H,C16H34O9,+Na,
171,2016-09-21_16h07m47s,MPI_Bremen_tagger1,C5H15As,+H,C18H38O10,+Na,
172,2016-09-21_16h07m47s,MPI_Bremen_tagger1,C5H15As,+H,C20H42O11,+Na,
173,2016-09-21_16h07m47s,MPI_Bremen_tagger1,C5H15As,+H,C22H46O12,+Na,
174,2016-09-21_16h07m47s,MPI_Bremen_tagger1,C5H15As,+H,C24H50O13,+Na,
175,2016-09-21_16h07m47s,MPI_Bremen_tagger1,C5H15As,+H,C18H20N3O7P,+Na,0.0
176,2016-09-21_16h07m47s,MPI_Bremen_tagger1,C5H15As,+H,C14H8O6,+Na,1.0
177,2016-09-21_16h07m47s,MPI_Bremen_tagger1,C5H15As,+H,C15H10O6,+Na,1.0
178,2016-09-21_16h07m47s,MPI_Bremen_tagger1,C5H15As,+H,C10H12FN5O4,+Na,2.0
179,2016-09-21_16h07m47s,MPI_Bremen_tagger1,C5H15As,+H,C14H13NO7,+H,2.0
180,2016-09-21_16h07m47s,MPI_Bremen_tagger2,C5H15As,+H,C10H12FN5O4,+Na,
181,2016-09-21_16h07m47s,MPI_Bremen_tagger2,C5H15As,+H,C14H13NO7,+H,
182,2016-09-21_16h07m47s,MPI_Bremen_tagger2,C5H15As,+H,C16H34O9,+Na,
183,2016-09-21_16h07m47s,MPI_Bremen_tagger2,C5H15As,+H,C18H38O10,+Na,
184,2016-09-21_16h07m47s,MPI_Bremen_tagger2,C5H15As,+H,C20H42O11,+Na,
185,2016-09-21_16h07m47s,MPI_Bremen_tagger2,C5H15As,+H,C22H46O12,+Na,
186,2016-09-21_16h07m47s,MPI_Bremen_tagger2,C5H15As,+H,C24H50O13,+Na,
187,2016-09-21_16h07m47s,MPI_Bremen_tagger2,C5H15As,+H,C18H20N3O7P,+Na,0.0
188,2016-09-21_16h07m47s,MPI_Bremen_tagger2,C5H15As,+H,C14H8O6,+Na,1.0
189,2016-09-21_16h07m47s,MPI_Bremen_tagger2,C5H15As,+H,C15H10O6,+Na,1.0
200,2016-09-21_16h07m49s,MPI_Bremen_tagger0,C5H15As,+H,C18H38O10,+Na,
201,2016-09-21_16h07m49s,MPI_Bremen_tagger0,C5H15As,+H,C20H42O11,+Na,
202,2016-09-21_16h07m49s,MPI_Bremen_tagger0,C5H15As,+H,C22H46O12,+Na,
203,2016-09-21_16h07m49s,MPI_Bremen_tagger0,C5H15As,+H,C24H50O13,+Na,
204,2016-09-21_16h07m49s,MPI_Bremen_tagger0,C5H15As,+H,C12H10F2N2O3,+Na,0.0
205,2016-09-21_16h07m49s,MPI_Bremen_tagger0,C5H15As,+H,C18H20N3O7P,+Na,1.0
206,2016-09-21_16h07m49s,MPI_Bremen_tagger0,C5H15As,+H,C14H8O6,+Na,2.0
207,2016-09-21_16h07m49s,MPI_Bremen_tagger0,C5H15As,+H,C15H10O6,+Na,3.0
208,2016-09-21_16h07m49s,MPI_Bremen_tagger0,C5H15As,+H,C10H12FN5O4,+Na,5.0
209,2016-09-21_16h07m49s,MPI_Bremen_tagger0,C5H15As,+H,C14H13NO7,+H,6.0
210,2016-09-21_16h07m49s,MPI_Bremen_tagger1,C5H15As,+H,C14H8O6,+Na,
211,2016-09-21_16h07m49s,MPI_Bremen_tagger1,C5H15As,+H,C18H38O10,+Na,
212,2016-09-21_16h07m49s,MPI_Bremen_tagger1,C5H15As,+H,C20H42O11,+Na,
213,2016-09-21_16h07m49s,MPI_Bremen_tagger1,C5H15As,+H,C22H46O12,+Na,
214,2016-09-21_16h07m49s,MPI_Bremen_tagger1,C5H15As,+H,C24H50O13,+Na,
215,2016-09-21_16h07m49s,MPI_Bremen_tagger1,C5H15As,+H,C18H20N3O7P,+Na,0.0
216,2016-09-21_16h07m49s,MPI_Bremen_tagger1,C5H15As,+H,C10H12FN5O4,+Na,1.0
217,2016-09-21_16h07m49s,MPI_Bremen_tagger1,C5H15As,+H,C12H10F2N2O3,+Na,1.0
218,2016-09-21_16h07m49s,MPI_Bremen_tagger1,C5H15As,+H,C14H13NO7,+H,1.0
219,2016-09-21_16h07m49s,MPI_Bremen_tagger1,C5H15As,+H,C15H10O6,+Na,2.0
220,2016-09-21_16h07m49s,MPI_Bremen_tagger2,C5H15As,+H,C10H12FN5O4,+Na,
221,2016-09-21_16h07m49s,MPI_Bremen_tagger2,C5H15As,+H,C14H13NO7,+H,
222,2016-09-21_16h07m49s,MPI_Bremen_tagger2,C5H15As,+H,C18H38O10,+Na,
223,2016-09-21_16h07m49s,MPI_Bremen_tagger2,C5H15As,+H,C20H42O11,+Na,
224,2016-09-21_16h07m49s,MPI_Bremen_tagger2,C5H15As,+H,C22H46O12,+Na,
225,2016-09-21_16h07m49s,MPI_Bremen_tagger2,C5H15As,+H,C24H50O13,+Na,
226,2016-09-21_16h07m49s,MPI_Bremen_tagger2,C5H15As,+H,C12H10F2N2O3,+Na,0.0
227,2016-09-21_16h07m49s,MPI_Bremen_tagger2,C5H15As,+H,C18H20N3O7P,+Na,0.0
228,2016-09-21_16h07m49s,MPI_Bremen_tagger2,C5H15As,+H,C14H8O6,+Na,1.0
229,2016-09-21_16h07m49s,MPI_Bremen_tagger2,C5H15As,+H,C15H10O6,+Na,2.0
300,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C13H8O5,+H,C12H8O4,+H,0.0
301,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C13H8O5,+H,C24H38O4,+H,1.0
302,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C13H8O5,+H,C28H17KO13,+H,2.0
303,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C13H8O5,+H,C42H80NO8P,+K,3.0
304,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C13H8O5,+H,C24H50NO7P,+Na,3.0
305,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C13H8O5,+H,C29H47NO4,+Na,3.0
306,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C13H8O5,+H,C12H24O3,+H,4.0
307,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C13H8O5,+H,C8H16O,+H,4.0
308,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C13H8O5,+H,C15H12O7,+H,5.0
309,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C13H8O5,+H,C12H24O3,+K,6.0
310,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C9H6O2,+H,C16H12O4,+H,0.0
311,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C9H6O2,+H,C17H12O4,+H,0.0
312,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C9H6O2,+H,C25H22O14,+K,1.0
313,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C9H6O2,+H,C28H15NaO12,+H,1.0
314,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C9H6O2,+H,C42H24O18,+H,1.0
315,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C9H6O2,+H,C42H26O19,+Na,1.0
316,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C9H6O2,+H,C42H80NO8P,+Na,2.0
317,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C9H6O2,+H,C17H15NO4,+Na,3.0
318,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C9H6O2,+H,C26H32O9,+K,4.0
319,2016-10-04_14h13m49s,JLU_Giessen_tagger0,C9H6O2,+H,C5H11NO2,+K,5.0
320,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C13H8O5,+H,C12H8O4,+H,0.0
321,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C13H8O5,+H,C28H17KO13,+H,1.0
322,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C13H8O5,+H,C24H38O4,+H,2.0
323,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C13H8O5,+H,C42H80NO8P,+K,3.0
324,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C13H8O5,+H,C24H50NO7P,+Na,4.0
325,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C13H8O5,+H,C29H47NO4,+Na,4.0
326,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C13H8O5,+H,C12H24O3,+H,5.0
327,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C13H8O5,+H,C8H16O,+H,6.0
328,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C13H8O5,+H,C12H24O3,+K,7.0
329,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C13H8O5,+H,C15H12O7,+H,8.0
330,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C21H11NaO9,+H,C35H20K2O16,+H,0.0
331,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C21H11NaO9,+H,C42H82NO8P,+K,0.0
332,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C21H11NaO9,+H,C14H7NaO6,+H,1.0
333,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C21H11NaO9,+H,C13H8O5,+H,2.0
334,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C21H11NaO9,+H,C49H28O21,+H,3.0
335,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C21H11NaO9,+H,C49H30O22,+H,3.0
336,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C21H11NaO9,+H,C22H24O7,+H,4.0
337,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C21H11NaO9,+H,C19H28O6,+K,5.0
338,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C21H11NaO9,+H,C21H12O9,+H,6.0
339,2016-10-04_14h13m49s,JLU_Giessen_tagger1,C21H11NaO9,+H,C28H18O13,+Na,6.0
340,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C13H8O5,+H,C12H24O3,+K,
341,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C13H8O5,+H,C28H17KO13,+H,
342,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C13H8O5,+H,C42H80NO8P,+K,
343,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C13H8O5,+H,C24H50NO7P,+Na,
344,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C13H8O5,+H,C29H47NO4,+Na,
345,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C13H8O5,+H,C15H12O7,+H,
346,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C13H8O5,+H,C12H8O4,+H,0.0
347,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C13H8O5,+H,C24H38O4,+H,7.0
348,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C13H8O5,+H,C12H24O3,+H,8.0
349,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C13H8O5,+H,C8H16O,+H,8.0
350,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C21H11NaO9,+H,C35H20K2O16,+H,
351,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C21H11NaO9,+H,C42H82NO8P,+K,
352,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C21H11NaO9,+H,C19H28O6,+K,
353,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C21H11NaO9,+H,C22H24O7,+H,
354,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C21H11NaO9,+H,C28H18O13,+Na,0.0
355,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C21H11NaO9,+H,C14H7NaO6,+H,1.0
356,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C21H11NaO9,+H,C21H12O9,+H,2.0
357,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C21H11NaO9,+H,C49H28O21,+H,3.0
358,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C21H11NaO9,+H,C49H30O22,+H,3.0
359,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C21H11NaO9,+H,C13H8O5,+H,4.0
360,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C11H6O3,+H,C14H10O7,+Na,
361,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C11H6O3,+H,C24H38O4,+Na,
362,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C11H6O3,+H,C24H42O21,+K,
363,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C11H6O3,+H,C27H34O3,+Na,
364,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C11H6O3,+H,C28H16NaKO13,+H,
365,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C11H6O3,+H,C28H17KO13,+H,
366,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C11H6O3,+H,C46H75O10P,+H,
367,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C11H6O3,+H,C11H8O3,+H,0.0
368,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C11H6O3,+H,C21H11NaO9,+H,1.0
369,2016-10-04_14h13m49s,JLU_Giessen_tagger2,C11H6O3,+H,C28H18O13,+Na,2.0
370,2016-10-04_14h13m49s,JLU_Giessen_tagger3,C21H11NaO9,+H,C14H7NaO6,+H,0.0
371,2016-10-04_14h13m49s,JLU_Giessen_tagger3,C21H11NaO9,+H,C28H18O13,+Na,1.0
372,2016-10-04_14h13m49s,JLU_Giessen_tagger3,C21H11NaO9,+H,C21H12O9,+H,2.0
373,2016-10-04_14h13m49s,JLU_Giessen_tagger3,C21H11NaO9,+H,C13H8O5,+H,3.0
374,2016-10-04_14h13m49s,JLU_Giessen_tagger3,C21H11NaO9,+H,C49H28O21,+H,4.0
375,2016-10-04_14h13m49s,JLU_Giessen_tagger3,C21H11NaO9,+H,C49H30O22,+H,4.0
376,2016-10-04_14h13m49s,JLU_Giessen_tagger3,C21H11NaO9,+H,C35H20K2O16,+H,6.0
377,2016-10-04_14h13m49s,JLU_Giessen_tagger3,C21H11NaO9,+H,C42H82NO8P,+K,6.0
