datasetId,baseSf,baseAdduct,otherSf,otherAdduct,rank
2016-09-21_16h07m47s,C5H15As,+H,C14H8O6,+Na,1.3333333333333333
2016-09-21_16h07m47s,C5H15As,+H,C15H10O6,+Na,1.0
2016-09-21_16h07m47s,C5H15As,+H,C16H34O9,+Na,10.0
2016-09-21_16h07m47s,C5H15As,+H,C18H20N3O7P,+Na,0.0
2016-09-21_16h07m47s,C5H15As,+H,C18H38O10,+Na,10.0
2016-09-21_16h07m47s,C5H15As,+H,C20H42O11,+Na,10.0
2016-09-21_16h07m47s,C5H15As,+H,C22H46O12,+Na,10.0
2016-09-21_16h07m47s,C5H15As,+H,C24H50O13,+Na,10.0
2016-09-21_16h07m49s,C5H15As,+H,C10H12FN5O4,+Na,5.333333333333333
2016-09-21_16h07m49s,C5H15As,+H,C12H10F2N2O3,+Na,0.3333333333333333
2016-09-21_16h07m49s,C5H15As,+H,C14H13NO7,+H,5.666666666666667
2016-09-21_16h07m49s,C5H15As,+H,C14H8O6,+Na,4.333333333333333
2016-09-21_16h07m49s,C5H15As,+H,C15H10O6,+Na,2.3333333333333335
2016-09-21_16h07m49s,C5H15As,+H,C18H20N3O7P,+Na,0.3333333333333333
2016-09-21_16h07m49s,C5H15As,+H,C18H38O10,+Na,10.0
2016-09-21_16h07m49s,C5H15As,+H,C20H42O11,+Na,10.0
2016-09-21_16h07m49s,C5H15As,+H,C22H46O12,+Na,10.0
2016-09-21_16h07m49s,C5H15As,+H,C24H50O13,+Na,10.0
2016-10-04_14h13m49s,C11H6O3,+H,C11H8O3,+H,0.0
2016-10-04_14h13m49s,C11H6O3,+H,C14H10O7,+Na,4.666666666666667
2016-10-04_14h13m49s,C11H6O3,+H,C21H11NaO9,+H,1.3333333333333333
2016-10-04_14h13m49s,C11H6O3,+H,C24H38O4,+Na,6.0
2016-10-04_14h13m49s,C11H6O3,+H,C24H42O21,+K,7.666666666666667
2016-10-04_14h13m49s,C11H6O3,+H,C27H34O3,+Na,7.333333333333333
2016-10-04_14h13m49s,C11H6O3,+H,C28H16NaKO13,+H,8.0
2016-10-04_14h13m49s,C11H6O3,+H,C28H17KO13,+H,7.666666666666667
2016-10-04_14h13m49s,C11H6O3,+H,C28H18O13,+Na,2.3333333333333335
2016-10-04_14h13m49s,C11H6O3,+H,C46H75O10P,+H,9.0
2016-10-04_14h13m49s,C13H8O5,+H,C12H24O3,+H,6.0
2016-10-04_14h13m49s,C13H8O5,+H,C12H24O3,+K,8.0
2016-10-04_14h13m49s,C13H8O5,+H,C12H8O4,+H,0.0
2016-10-04_14h13m49s,C13H8O5,+H,C15H12O7,+H,7.5
2016-10-04_14h13m49s,C13H8O5,+H,C24H38O4,+H,4.0
2016-10-04_14h13m49s,C13H8O5,+H,C24H50NO7P,+Na,6.5
2016-10-04_14h13m49s,C13H8O5,+H,C28H17KO13,+H,6.0
2016-10-04_14h13m49s,C13H8O5,+H,C29H47NO4,+Na,6.5
2016-10-04_14h13m49s,C13H8O5,+H,C42H80NO8P,+K,6.5
2016-10-04_14h13m49s,C13H8O5,+H,C8H16O,+H,6.0
2016-10-04_14h13m49s,C9H6O2,+H,C16H12O4,+H,0.0
2016-10-04_14h13m49s,C9H6O2,+H,C17H12O4,+H,0.3333333333333333
2016-10-04_14h13m49s,C9H6O2,+H,C17H15NO4,+Na,5.0
2016-10-04_14h13m49s,C9H6O2,+H,C25H22O14,+K,2.6666666666666665
2016-10-04_14h13m49s,C9H6O2,+H,C26H32O9,+K,6.333333333333333
2016-10-04_14h13m49s,C9H6O2,+H,C28H15NaO12,+H,2.3333333333333335
2016-10-04_14h13m49s,C9H6O2,+H,C42H24O18,+H,2.0
2016-10-04_14h13m49s,C9H6O2,+H,C42H26O19,+Na,1.6666666666666667
2016-10-04_14h13m49s,C9H6O2,+H,C42H80NO8P,+Na,4.333333333333333
2016-10-04_14h13m49s,C9H6O2,+H,C5H11NO2,+K,7.666666666666667
2016-10-21_07h18m06s,C3H8NO4P,+H,C10H8O2,+H,8.0
2016-10-21_07h18m06s,C3H8NO4P,+H,C11H8O2,+H,8.333333333333334
2016-10-21_07h18m06s,C3H8NO4P,+H,C13H8O5,+H,8.333333333333334
2016-10-21_07h18m06s,C3H8NO4P,+H,C14H8O6,+H,7.666666666666667
2016-10-21_07h18m06s,C3H8NO4P,+H,C14H8O6,+Na,8.666666666666666
2016-10-21_07h18m06s,C3H8NO4P,+H,C15H10O6,+H,7.333333333333333
2016-10-21_07h18m06s,C3H8NO4P,+H,C21H14O10,+Na,9.0
2016-10-21_07h18m06s,C3H8NO4P,+H,C26H28N5O2,+H,10.0
2016-10-21_07h18m06s,C3H8NO4P,+H,C36H75N,+H,0.6666666666666666
2016-10-21_07h18m06s,C3H8NO4P,+H,C7H5O4,+H,0.3333333333333333
2016-11-17_17h58m41s,C47H81O13P,-H,C11H14O7S,-H,10.0
2016-11-17_17h58m41s,C47H81O13P,-H,C16H26O6,-H,10.0
2016-11-17_17h58m41s,C47H81O13P,-H,C17H28O3S,-H,10.0
2016-11-17_17h58m41s,C47H81O13P,-H,C18H30O3S,-H,10.0
2016-11-17_17h58m41s,C47H81O13P,-H,C19H38NO7P,-H,6.0
2016-11-17_17h58m41s,C47H81O13P,-H,C27H36O2,-H,2.6666666666666665
2016-11-17_17h58m41s,C47H81O13P,-H,C42H80NO10P,-H,0.0
2016-11-17_17h58m41s,C47H81O13P,-H,C43H78NO7P,-H,1.6666666666666667
2016-11-17_17h58m41s,C47H81O13P,-H,C44H78NO10P,-H,1.6666666666666667
2016-11-17_17h58m41s,C47H81O13P,-H,C5H10S2,-H,8.333333333333334
2016-11-17_18h04m24s,C39H75O8P,-H,C16H30O2,-H,10.0
2016-11-17_18h04m24s,C39H75O8P,-H,C18H30O3S,-H,10.0
2016-11-17_18h04m24s,C39H75O8P,-H,C21H40O4,+Cl,10.0
2016-11-17_18h04m24s,C39H75O8P,-H,C34H67NO3,+Cl,10.0
2016-11-17_18h04m24s,C39H75O8P,-H,C39H75O8P,-H,0.0
2016-11-17_18h04m24s,C39H75O8P,-H,C39H79N2O6P,+Cl,3.3333333333333335
2016-11-17_18h04m24s,C39H75O8P,-H,C42H82NO8P,+Cl,2.6666666666666665
2016-11-17_18h04m24s,C39H75O8P,-H,C47H81O13P,-H,1.6666666666666667
2016-11-17_18h04m24s,C39H75O8P,-H,C47H83O13P,-H,2.3333333333333335
2016-11-17_18h04m24s,C39H75O8P,-H,C6H12O6,+Cl,10.0
2016-11-17_20h05m40s,C42H79O10P,-H,C10H14N4O5,-H,10.0
2016-11-17_20h05m40s,C42H79O10P,-H,C22H38O2,-H,10.0
2016-11-17_20h05m40s,C42H79O10P,-H,C28H26O18,-H,10.0
2016-11-17_20h05m40s,C42H79O10P,-H,C41H74NO7P,-H,10.0
2016-11-17_20h05m40s,C42H79O10P,-H,C42H78NO10P,-H,10.0
2016-11-17_20h05m40s,C42H79O10P,-H,C42H79O10P,-H,0.0
2016-11-17_20h05m40s,C42H79O10P,-H,C43H78NO7P,-H,10.0
2016-11-17_20h05m40s,C42H79O10P,-H,C43H80NO8P,-H,10.0
2016-11-17_20h05m40s,C42H79O10P,-H,C45H81O13P,-H,10.0
2016-11-17_20h05m40s,C42H79O10P,-H,C46H77O10P,-H,1.0
2016-11-17_20h05m40s,C44H75O10P,-H,C21H32N6O3,-H,9.0
2016-11-17_20h05m40s,C44H75O10P,-H,C22H38O2,-H,8.333333333333334
2016-11-17_20h05m40s,C44H75O10P,-H,C42H77O10P,-H,0.0
2016-11-17_20h05m40s,C44H75O10P,-H,C42H78NO10P,-H,8.0
2016-11-17_20h05m40s,C44H75O10P,-H,C42H80NO10P,-H,4.0
2016-11-17_20h05m40s,C44H75O10P,-H,C43H78NO8P,-H,9.333333333333334
2016-11-17_20h05m40s,C44H75O10P,-H,C45H81O13P,-H,8.0
2016-11-17_20h05m40s,C44H75O10P,-H,C49H87O13P,-H,7.666666666666667
2016-11-17_20h05m40s,C44H75O10P,-H,C7H13NS2,-H,10.0
2016-11-18_15h10m50s,C12H24O2,-H,C10H20O2,-H,0.0
2016-11-18_15h10m50s,C12H24O2,-H,C16H30O2,-H,7.666666666666667
2016-11-18_15h10m50s,C12H24O2,-H,C18H32O2,-H,8.333333333333334
2016-11-18_15h10m50s,C12H24O2,-H,C24H46O2,-H,7.333333333333333
2016-11-18_15h10m50s,C12H24O2,-H,C2H7NO3S,-H,7.0
2016-11-18_15h10m50s,C12H24O2,-H,C39H74NO8P,-H,9.0
2016-11-18_15h10m50s,C12H24O2,-H,C41H80NO7P,-H,9.333333333333334
2016-11-18_15h10m50s,C12H24O2,-H,C44H84NO10P,-H,8.0
2016-11-18_15h10m50s,C12H24O2,-H,C45H79O13P,-H,8.666666666666666
2016-11-18_15h10m50s,C12H24O2,-H,C6H5NO4,-H,10.0
2016-11-18_15h10m50s,C4H7NO4,-H,C12H24O2,-H,0.3333333333333333
2016-11-18_15h10m50s,C4H7NO4,-H,C27H46O4S,-H,7.333333333333333
2016-11-18_15h10m50s,C4H7NO4,-H,C43H76NO8P,-H,10.0
2016-11-18_15h10m50s,C4H7NO4,-H,C43H78NO8P,-H,10.0
2016-11-18_15h10m50s,C4H7NO4,-H,C44H76NO8P,-H,10.0
2016-11-18_15h10m50s,C4H7NO4,-H,C46H78NO10P,-H,10.0
2016-11-18_15h10m50s,C4H7NO4,-H,C46H79O8P,-H,7.666666666666667
2016-11-18_15h10m50s,C4H7NO4,-H,C46H86NO10P,-H,10.0
2016-11-18_15h10m50s,C4H7NO4,-H,C6H8O7,+Cl,10.0
2016-11-18_15h10m50s,C4H7NO4,-H,C9H18O2,-H,0.6666666666666666
2016-11-18_15h12m44s,C10H14N5O7P,-H,C11H14O7S,-H,10.0
2016-11-18_15h12m44s,C10H14N5O7P,-H,C19H38NO7P,-H,4.0
2016-11-18_15h12m44s,C10H14N5O7P,-H,C24H44O7,-H,10.0
2016-11-18_15h12m44s,C10H14N5O7P,-H,C37H71O8P,-H,10.0
2016-11-18_15h12m44s,C10H14N5O7P,-H,C44H79O10P,-H,10.0
2016-11-18_15h12m44s,C10H14N5O7P,-H,C45H81O13P,-H,10.0
2016-11-18_15h12m44s,C10H14N5O7P,-H,C46H79O10P,-H,10.0
2016-11-18_15h12m44s,C10H14N5O7P,-H,C49H85O13P,-H,10.0
2016-11-18_15h12m44s,C10H14N5O7P,-H,C50H77O10P,-H,10.0
2016-11-18_15h12m44s,C10H14N5O7P,-H,C9H19O11P,-H,0.0
2016-11-18_15h14m04s,C24H48O2,-H,C18H30O3S,-H,10.0
2016-11-18_15h14m04s,C24H48O2,-H,C20H38O2,-H,4.666666666666667
2016-11-18_15h14m04s,C24H48O2,-H,C22H36O2,-H,0.0
2016-11-18_15h14m04s,C24H48O2,-H,C41H78NO7P,-H,8.333333333333334
2016-11-18_15h14m04s,C24H48O2,-H,C42H79O10P,-H,6.666666666666667
2016-11-18_15h14m04s,C24H48O2,-H,C43H76NO8P,-H,4.666666666666667
2016-11-18_15h14m04s,C24H48O2,-H,C49H83O13P,-H,4.666666666666667
2016-11-18_15h14m04s,C24H48O2,-H,C6H9NO5,-H,9.0
2016-11-18_15h14m04s,C24H48O2,-H,C8HF15O2,-H,10.0
2016-11-18_15h14m04s,C24H48O2,-H,C9H18O9,-H,8.0
2016-11-18_16h14m36s,C12H8O4,+H,C14H8O6,+K,6.5
2016-11-18_16h14m36s,C12H8O4,+H,C15H10O2,+H,0.5
2016-11-18_16h14m36s,C12H8O4,+H,C20H12O8,+H,0.0
2016-11-18_16h14m36s,C12H8O4,+H,C21H14O10,+K,5.0
2016-11-18_16h14m36s,C12H8O4,+H,C22H24O7,+H,1.5
2016-11-18_16h14m36s,C12H8O4,+H,C24H50NO7P,+H,7.0
2016-11-18_16h14m36s,C12H8O4,+H,C26H54NO7P,+H,7.0
2016-11-18_16h14m36s,C12H8O4,+H,C39H70O4,+H,7.0
2016-11-18_16h14m36s,C12H8O4,+H,C40H80NO8P,+H,7.0
2016-11-18_16h14m36s,C12H8O4,+H,C44H86NO8P,+H,7.0
2016-11-22_02h04m47s,C16H30O2,-H,C18H34O2,-H,0.0
2016-11-22_02h04m47s,C16H30O2,-H,C24H47O9P,-H,3.6666666666666665
2016-11-22_02h04m47s,C16H30O2,-H,C38H75NO3,+Cl,1.6666666666666667
2016-11-22_02h04m47s,C16H30O2,-H,C40H77O10P,-H,1.3333333333333333
2016-11-22_02h04m47s,C16H30O2,-H,C43H79O13P,-H,2.0
2016-11-22_02h04m47s,C16H30O2,-H,C45H85O13P,-H,3.3333333333333335
2016-11-22_02h04m47s,C16H30O2,-H,C49H87O13P,-H,6.333333333333333
2016-11-22_02h04m47s,C16H30O2,-H,C4H6O4,-H,8.333333333333334
2016-11-22_02h04m47s,C16H30O2,-H,C6H8O6,-H,8.0
2016-11-22_02h04m47s,C16H30O2,-H,C8H16O2,-H,10.0
2016-11-22_02h04m47s,C6H9N3O2,-H,C10H12N4O5,-H,0.0
2016-11-22_02h04m47s,C6H9N3O2,-H,C22H42O2,-H,10.0
2016-11-22_02h04m47s,C6H9N3O2,-H,C27H53O12P,-H,7.333333333333333
2016-11-22_02h04m47s,C6H9N3O2,-H,C29H49O12P,-H,10.0
2016-11-22_02h04m47s,C6H9N3O2,-H,C38H75NO3,+Cl,10.0
2016-11-22_02h04m47s,C6H9N3O2,-H,C42H77O10P,-H,10.0
2016-11-22_02h04m47s,C6H9N3O2,-H,C43H80NO8P,-H,10.0
2016-11-22_02h04m47s,C6H9N3O2,-H,C44H78NO10P,-H,10.0
2016-11-22_02h04m47s,C6H9N3O2,-H,C47H83O13P,-H,10.0
2016-11-22_02h04m47s,C6H9N3O2,-H,C6H8O7,+Cl,1.0
2016-11-22_02h05m05s,C6H8O6,-H,C20H32O2,-H,7.333333333333333
2016-11-22_02h05m05s,C6H8O6,-H,C35H68O5,+Cl,8.0
2016-11-22_02h05m05s,C6H8O6,-H,C39H76NO8P,-H,8.333333333333334
2016-11-22_02h05m05s,C6H8O6,-H,C43H78NO7P,-H,9.333333333333334
2016-11-22_02h05m05s,C6H8O6,-H,C44H84NO10P,-H,8.666666666666666
2016-11-22_02h05m05s,C6H8O6,-H,C47H81O13P,-H,7.666666666666667
2016-11-22_02h05m05s,C6H8O6,-H,C57H102O7,-H,9.0
2016-11-22_02h05m05s,C6H8O6,-H,C6H10O3,-H,10.0
2016-11-22_02h05m05s,C6H8O6,-H,C6H8O6,-H,0.0
2016-11-22_02h05m05s,C6H8O6,-H,C6H8O7,+Cl,1.0
2016-11-22_14h08m11s,C14H9NaO7,+H,C20H38O2,+H,10.0
2016-11-22_14h08m11s,C14H9NaO7,+H,C21H13NaO10,+H,0.0
2016-11-22_14h08m11s,C14H9NaO7,+H,C28H18Na2K2O15,+H,10.0
2016-11-22_14h08m11s,C14H9NaO7,+H,C28H18Na2O14,+Na,8.0
2016-11-22_14h08m11s,C14H9NaO7,+H,C28H18NaKO14,+Na,10.0
2016-11-22_14h08m11s,C14H9NaO7,+H,C33H35N5O5,+H,10.0
2016-11-22_14h08m11s,C14H9NaO7,+H,C35H20O15,+Na,1.5
2016-11-22_14h08m11s,C14H9NaO7,+H,C35H22O16,+Na,1.0
2016-11-22_14h08m11s,C14H9NaO7,+H,C42H24O18,+H,2.0
2016-11-22_14h08m11s,C14H9NaO7,+H,C44H86NO8P,+Na,10.0
2016-11-25_12h00m00s,C25H50NO7P,-H,C38H77N2O6P,-H,6.666666666666667
2016-11-25_12h00m00s,C25H50NO7P,-H,C41H74NO7P,-H,8.666666666666666
2016-11-25_12h00m00s,C25H50NO7P,-H,C41H82NO8P,-H,7.666666666666667
2016-11-25_12h00m00s,C25H50NO7P,-H,C42H75O10P,-H,8.0
2016-11-25_12h00m00s,C25H50NO7P,-H,C42H81NO11S,-H,0.3333333333333333
2016-11-25_12h00m00s,C25H50NO7P,-H,C43H83O13P,-H,8.333333333333334
2016-11-25_12h00m00s,C25H50NO7P,-H,C45H79O13P,-H,9.0
2016-11-25_12h00m00s,C25H50NO7P,-H,C46H88O12P,-H,1.0
2016-11-25_12h00m00s,C25H50NO7P,-H,C51H91NO9P,-H,0.0
2016-11-25_12h00m00s,C25H50NO7P,-H,C57H104N2O21,-H,9.666666666666666
2016-12-01_18h11m49s,C44H86NO7P,+K,C42H82NO8P,+H,7.333333333333333
2016-12-01_18h11m49s,C44H86NO7P,+K,C42H82NO8P,+K,7.333333333333333
2016-12-01_18h11m49s,C44H86NO7P,+K,C42H84NO7P,+K,0.0
2016-12-01_18h11m49s,C44H86NO7P,+K,C44H86NO8P,+H,1.3333333333333333
2016-12-01_18h11m49s,C44H86NO7P,+K,C46H82NO8P,+K,8.666666666666666
2016-12-01_18h11m49s,C44H86NO7P,+K,C48H76O10P,+H,8.333333333333334
2016-12-01_18h11m49s,C44H86NO7P,+K,C48H88NO8P,+K,7.833333333333333
2016-12-01_18h11m49s,C44H86NO7P,+K,C48H93NO9,+Na,5.0
2016-12-01_18h11m49s,C44H86NO7P,+K,C49H86NO7P,+Na,0.3333333333333333
2016-12-01_18h38m52s,C37H71O8P,+K,C25H28N6O,+K,9.333333333333334
2016-12-01_18h38m52s,C37H71O8P,+K,C43H71O8P,+K,3.6666666666666665
2016-12-01_18h38m52s,C37H71O8P,+K,C46H76O10P,+H,1.0
2016-12-01_18h38m52s,C37H71O8P,+K,C46H84NO8P,+K,2.3333333333333335
2016-12-01_18h38m52s,C37H71O8P,+K,C46H88NO8P,+H,8.666666666666666
2016-12-01_18h38m52s,C37H71O8P,+K,C46H92N2O6P,+K,1.6666666666666667
2016-12-01_18h38m52s,C37H71O8P,+K,C47H93N2O6P,+K,9.0
2016-12-01_18h38m52s,C37H71O8P,+K,C48H88NO8P,+H,1.3333333333333333
2016-12-01_18h38m52s,C37H71O8P,+K,C48H91NO8,+K,9.0
2016-12-01_18h38m52s,C37H71O8P,+K,C50H80O10P,+H,1.6666666666666667
2016-12-01_18h38m52s,C42H82NO7P,+H,C25H28N6O,+K,7.333333333333333
2016-12-01_18h38m52s,C42H82NO7P,+H,C39H73O8P,+K,10.0
2016-12-01_18h38m52s,C42H82NO7P,+H,C40H80NO8P,+Na,10.0
2016-12-01_18h38m52s,C42H82NO7P,+H,C42H84NO7P,+K,0.0
2016-12-01_18h38m52s,C42H82NO7P,+H,C44H80NO8P,+H,10.0
2016-12-01_18h38m52s,C42H82NO7P,+H,C44H80O9P,+H,0.0
2016-12-01_18h38m52s,C42H82NO7P,+H,C45H78NO7P,+Na,10.0
2016-12-01_18h38m52s,C42H82NO7P,+H,C46H80O10P,+H,3.0
2016-12-01_18h38m52s,C42H82NO7P,+H,C46H82O10P,+H,2.0
2016-12-01_18h38m52s,C42H82NO7P,+H,C50H90O10P,+H,0.6666666666666666
2016-12-01_18h38m52s,C44H86NO7P,+K,C25H28N6O,+K,7.333333333333333
2016-12-01_18h38m52s,C44H86NO7P,+K,C41H80NO7P,+K,0.6666666666666666
2016-12-01_18h38m52s,C44H86NO7P,+K,C44H84NO7P,+H,0.6666666666666666
2016-12-01_18h38m52s,C44H86NO7P,+K,C44H86NO8P,+H,1.6666666666666667
2016-12-01_18h38m52s,C44H86NO7P,+K,C44H86NO8P,+K,1.6666666666666667
2016-12-01_18h38m52s,C44H86NO7P,+K,C46H82NO8P,+H,10.0
2016-12-01_18h38m52s,C44H86NO7P,+K,C46H84NO8P,+H,10.0
2016-12-01_18h38m52s,C44H86NO7P,+K,C46H90NO10P,+H,0.0
2016-12-01_18h38m52s,C44H86NO7P,+K,C48H84NO8P,+H,10.0
2016-12-01_18h38m52s,C44H86NO7P,+K,C50H98NO8P,+K,0.3333333333333333
2016-12-01_18h42m02s,C39H75O8P,+K,C37H71O8P,+K,0.3333333333333333
2016-12-01_18h42m02s,C39H75O8P,+K,C38H76NO8P,+K,7.333333333333333
2016-12-01_18h42m02s,C39H75O8P,+K,C39H73O8P,+K,1.3333333333333333
2016-12-01_18h42m02s,C39H75O8P,+K,C41H75O8P,+K,10.0
2016-12-01_18h42m02s,C39H75O8P,+K,C42H84NO7P,+K,10.0
2016-12-01_18h42m02s,C39H75O8P,+K,C43H84NO8P,+H,1.0
2016-12-01_18h42m02s,C39H75O8P,+K,C44H80NO8P,+K,1.3333333333333333
2016-12-01_18h42m02s,C39H75O8P,+K,C44H86NO7P,+K,10.0
2016-12-01_18h42m02s,C39H75O8P,+K,C48H84NO8P,+Na,3.6666666666666665
2016-12-01_18h42m02s,C39H75O8P,+K,C48H94NO8P,+K,10.0
2016-12-01_18h42m02s,C40H67O7P,+Na,C42H82NO8P,+Na,2.6666666666666665
2016-12-01_18h42m02s,C40H67O7P,+Na,C44H80NO8P,+Na,0.0
2016-12-01_18h42m02s,C40H67O7P,+Na,C45H78NO7P,+Na,2.6666666666666665
2016-12-01_18h42m02s,C40H67O7P,+Na,C46H78NO10P,+K,0.6666666666666666
2016-12-01_18h42m02s,C40H67O7P,+Na,C46H80NO7P,+Na,8.333333333333334
2016-12-01_18h42m02s,C40H67O7P,+Na,C48H84NO8P,+Na,2.0
2016-12-01_18h42m02s,C40H67O7P,+Na,C48H92O10P,+Na,8.666666666666666
2016-12-01_18h42m02s,C40H67O7P,+Na,C50H90O10P,+H,8.666666666666666
2016-12-01_18h42m02s,C40H67O7P,+Na,C57H110O6,+K,9.0
2016-12-01_18h42m02s,C40H67O7P,+Na,C63H98O6,+K,9.0
2016-12-01_18h42m02s,C44H80NO8P,+K,C39H73O8P,+K,0.6666666666666666
2016-12-01_18h42m02s,C44H80NO8P,+K,C40H67O7P,+Na,1.0
2016-12-01_18h42m02s,C44H80NO8P,+K,C44H80NO8P,+Na,1.3333333333333333
2016-12-01_18h42m02s,C44H80NO8P,+K,C45H78NO8P,+K,2.0
2016-12-01_18h42m02s,C44H80NO8P,+K,C46H80O10P,+H,7.0
2016-12-01_18h42m02s,C44H80NO8P,+K,C47H95N2O6P,+K,8.0
2016-12-01_18h42m02s,C44H80NO8P,+K,C48H92NO8P,+K,8.333333333333334
2016-12-01_18h42m02s,C44H80NO8P,+K,C50H94O10P,+Na,8.666666666666666
2016-12-01_18h42m02s,C44H80NO8P,+K,C50H96NO8P,+K,8.666666666666666
2016-12-01_18h42m02s,C44H80NO8P,+K,C53H102O6,+K,9.333333333333334
2016-12-01_18h53m30s,C20H32O2,-H,C14H30O8,-H,8.666666666666666
2016-12-01_18h53m30s,C20H32O2,-H,C18H36O2,-H,0.0
2016-12-01_18h53m30s,C20H32O2,-H,C21H26O3,-H,8.666666666666666
2016-12-01_18h53m30s,C20H32O2,-H,C41H80NO7P,-H,8.0
2016-12-01_18h53m30s,C20H32O2,-H,C43H73O8P,-H,1.6666666666666667
2016-12-01_18h53m30s,C20H32O2,-H,C43H74NO7P,-H,2.0
2016-12-01_18h53m30s,C20H32O2,-H,C43H78NO8P,-H,1.0
2016-12-01_18h53m30s,C20H32O2,-H,C43H84NO7P,-H,8.333333333333334
2016-12-01_18h53m30s,C20H32O2,-H,C44H78NO10P,-H,7.666666666666667
2016-12-01_18h53m30s,C20H32O2,-H,C44H85NO11S,-H,8.0
2017-01-05_08h08m58s,C12H22O11,+Cl,C12H24O2,-H,6.666666666666667
2017-01-05_08h08m58s,C12H22O11,+Cl,C13H26O2,-H,7.0
2017-01-05_08h08m58s,C12H22O11,+Cl,C14H28O2,-H,6.666666666666667
2017-01-05_08h08m58s,C12H22O11,+Cl,C15H30O2,-H,7.0
2017-01-05_08h08m58s,C12H22O11,+Cl,C16H32O2,-H,7.0
2017-01-05_08h08m58s,C12H22O11,+Cl,C18H16NO4,-H,0.6666666666666666
2017-01-05_08h08m58s,C12H22O11,+Cl,C19H18N2O4,-H,7.0
2017-01-05_08h08m58s,C12H22O11,+Cl,C6H12O6,+Cl,0.3333333333333333
2017-01-05_08h08m58s,C12H22O11,+Cl,C7H6O4,-H,6.666666666666667
2017-01-05_08h08m58s,C12H22O11,+Cl,C9H18O2,-H,6.666666666666667
2017-01-05_08h08m58s,C8H16O2,-H,C10H20O2,-H,3.3333333333333335
2017-01-05_08h08m58s,C8H16O2,-H,C12H22O11,+Cl,7.0
